location,Basel,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697,283.697
variable,Temperature,Precipitation Total,Relative Humidity,Wind Speed,Wind Direction
unit,°C,mm,%,km/h,°
level,2 m elevation corrected,sfc,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20211018T0000,10.940529,0.0,78.0,2.968636,104.03624
20211018T0100,10.240529,0.0,78.0,3.2399998,89.99999
20211018T0200,10.100529,0.0,75.0,2.3051248,128.6598
20211018T0300,10.100529,0.0,72.0,3.319036,139.3987
20211018T0400,10.060529,0.0,68.0,3.7064266,119.054596
20211018T0500,9.640529,0.0,64.0,4.1046314,127.874985
20211018T0600,9.480529,0.0,57.0,5.3517847,137.72632
20211018T0700,9.290529,0.0,56.0,5.904439,127.56859
20211018T0800,9.0505295,0.0,66.0,6.28713,113.62937
20211018T0900,10.390529,0.0,68.0,8.766573,109.17901
20211018T1000,12.820529,0.0,66.0,8.557102,104.620865
20211018T1100,15.260529,0.0,58.0,6.924738,98.97262
20211018T1200,17.170528,0.0,51.0,4.379589,80.537674
20211018T1300,17.690529,0.0,44.0,4.452954,75.96376
20211018T1400,18.740528,0.0,38.0,4.452954,75.96376
20211018T1500,19.31053,0.0,37.0,3.319036,77.47118
20211018T1600,19.360529,0.0,37.0,3.96,89.99999
20211018T1700,18.89053,0.0,40.0,3.9763298,84.805565
20211018T1800,18.30053,0.0,44.0,5.937272,104.03624
20211018T1900,17.04053,0.0,53.0,7.729527,117.75854
20211018T2000,15.190529,0.0,62.0,7.42159,129.09386
20211018T2100,14.250529,0.0,63.0,7.289445,147.09476
20211018T2200,13.500529,0.0,62.0,4.829907,153.43495
20211018T2300,12.910529,0.0,63.0,4.8965297,143.97263
20211019T0000,12.880529,0.0,55.0,6.3690495,137.2906
20211019T0100,12.480529,0.0,50.0,6.12,118.07248
20211019T0200,11.020529,0.0,54.0,4.802999,102.99461
20211019T0300,10.350529,0.0,56.0,5.815978,111.80141
20211019T0400,10.330529,0.0,56.0,5.6920996,108.434944
20211019T0500,10.540529,0.0,57.0,6.489992,109.44003
20211019T0600,10.700529,0.0,57.0,5.937272,104.03624
20211019T0700,10.540529,0.0,59.0,6.9899354,101.88866
20211019T0800,10.710529,0.0,60.0,6.379216,106.38954
20211019T0900,11.430529,0.0,59.0,6.725354,105.5241
20211019T1000,14.540529,0.0,57.0,8.766573,109.17901
20211019T1100,16.410528,0.0,51.0,8.557102,104.620865
20211019T1200,17.54053,0.0,53.0,9.793058,107.10272
20211019T1300,17.23053,0.0,53.0,7.2805495,98.53076
20211019T1400,18.330528,0.0,52.0,6.6185193,112.380135
20211019T1500,19.740528,0.0,48.0,4.73506,98.74616
20211019T1600,20.15053,0.0,46.0,3.6179552,95.71059
20211019T1700,20.010529,0.0,45.0,5.8603754,100.61965
20211019T1800,19.680529,0.0,46.0,7.5170207,106.69924
20211019T1900,18.54053,0.0,51.0,7.42159,112.83366
20211019T2000,17.39053,0.0,57.0,6.4096174,128.15723
20211019T2100,16.71053,0.0,61.0,5.6233797,140.19443
20211019T2200,15.080529,0.0,58.0,5.904439,142.4314
20211019T2300,14.060529,0.0,46.0,5.991594,147.26477
20211020T0000,13.640529,0.0,43.0,6.1094027,135.0
20211020T0100,12.790529,0.0,48.0,5.692099,124.69515
20211020T0200,11.260529,0.0,60.0,2.8116899,129.80557
20211020T0300,11.560529,0.0,64.0,3.5455887,156.0375
20211020T0400,12.000529,0.0,60.0,2.8116899,140.19443
20211020T0500,12.000529,0.0,62.0,2.3051248,128.6598
20211020T0600,10.980529,0.0,67.0,3.6,89.99999
20211020T0700,9.820529,0.0,73.0,5.4833565,113.19859
20211020T0800,10.580529,0.0,66.0,6.12,118.07248
20211020T0900,12.230529,0.0,63.0,7.9526596,95.19443
20211020T1000,15.060529,0.0,53.0,5.7599998,89.99999
20211020T1100,17.81053,0.0,50.0,2.7416782,203.1986
20211020T1200,21.56053,0.0,45.0,12.387348,234.46233
20211020T1300,23.56053,0.0,43.0,18.440998,231.3402
20211020T1400,24.090528,0.0,44.0,17.673029,236.63364
20211020T1500,23.47053,0.0,47.0,17.339897,221.63354
20211020T1600,21.79053,0.0,53.0,19.513195,209.87599
20211020T1700,20.31053,0.0,55.0,23.185787,216.15819
20211020T1800,18.71053,0.0,57.0,25.133053,218.01895
20211020T1900,18.46053,0.0,54.0,29.024128,223.99492
20211020T2000,18.12053,0.0,54.0,33.09651,224.11859
20211020T2100,17.82053,0.0,54.0,34.653625,222.47388
20211020T2200,17.82053,0.0,54.0,36.161636,223.38646
20211020T2300,17.410528,0.0,54.0,33.39473,221.9413
20211021T0000,17.680529,0.0,52.0,28.775238,226.52077
20211021T0100,17.57053,0.1,52.0,17.727943,240.83238
20211021T0200,16.600529,0.1,58.0,19.721298,248.58704
20211021T0300,14.620529,0.9,76.0,9.83268,246.2505
20211021T0400,15.590529,0.0,64.0,23.000591,230.0796
20211021T0500,15.720529,0.0,60.0,34.62369,225.84253
20211021T0600,15.240529,0.0,62.0,31.863558,237.92601
20211021T0700,14.350529,0.0,69.0,38.175278,254.12883
20211021T0800,13.650529,0.0,67.0,40.77546,256.20914
20211021T0900,13.370529,0.0,64.0,44.360413,256.86597
20211021T1000,13.560529,0.0,61.0,43.211998,259.439
20211021T1100,13.560529,0.0,60.0,41.305977,263.4944
20211021T1200,14.060529,0.0,57.0,33.603645,265.08344
20211021T1300,15.250529,0.0,48.0,30.657122,260.5377
20211021T1400,15.530529,0.0,46.0,31.782108,260.2176
20211021T1500,15.600529,0.0,45.0,31.491255,259.46082
20211021T1600,15.360529,0.0,44.0,30.009838,259.63367
20211021T1700,14.590529,0.0,48.0,26.717722,255.96376
20211021T1800,13.670529,0.0,52.0,21.868332,249.77515
20211021T1900,12.760529,0.0,56.0,18.218275,240.39555
20211021T2000,12.560529,0.0,57.0,17.873556,235.66978
20211021T2100,11.870529,0.0,60.0,16.363178,230.35583
20211021T2200,11.840529,0.0,61.0,16.075521,235.95407
20211021T2300,12.750529,0.0,59.0,17.555305,254.53879
20211022T0000,11.770529,0.0,66.0,17.298738,282.01147
20211022T0100,9.690529,0.0,84.0,17.238699,331.29407
20211022T0200,6.9305286,0.1,83.0,12.261157,319.76367
20211022T0300,7.5605288,0.1,83.0,10.464797,296.56506
20211022T0400,7.3505287,0.0,83.0,7.342588,281.30994
20211022T0500,7.2405286,0.0,84.0,8.557102,292.24902
20211022T0600,7.2105284,0.0,83.0,8.4963045,306.38437
20211022T0700,6.5205283,0.0,86.0,9.1641035,315.0
20211022T0800,6.5005283,0.0,86.0,8.913181,313.36343
20211022T0900,7.6605287,0.0,76.0,10.739832,320.44034
20211022T1000,8.630529,0.0,69.0,11.753876,319.96973
20211022T1100,9.820529,0.0,65.0,11.525623,308.65982
20211022T1200,10.990529,0.0,58.0,13.276144,310.60132
20211022T1300,13.310529,0.0,45.0,11.269782,296.56506
20211022T1400,13.920529,0.0,39.0,13.1041975,290.9245
20211022T1500,14.000529,0.0,38.0,14.917212,289.74683
20211022T1600,13.720529,0.0,36.0,16.516901,290.40988
20211022T1700,12.790529,0.0,38.0,13.661038,288.43497
20211022T1800,10.910529,0.0,46.0,11.542478,273.57632
20211022T1900,9.600529,0.0,51.0,10.464798,266.0548
20211022T2000,8.710529,0.0,55.0,7.928178,272.60257
20211022T2100,7.9805284,0.0,58.0,4.68,270.0
20211022T2200,7.4905286,0.0,60.0,2.9024127,240.25513
20211022T2300,7.4105287,0.0,59.0,2.4149535,206.56505
20211023T0000,7.1405287,0.0,59.0,3.671294,191.30994
20211023T0100,5.8605285,0.0,64.0,5.3999996,180.0
20211023T0200,5.2005286,0.0,68.0,5.04,180.0
20211023T0300,5.9505286,0.0,67.0,4.3498964,155.55605
20211023T0400,6.1505284,0.0,67.0,5.3999996,126.869896
20211023T0500,5.6205287,0.0,69.0,6.763786,115.20112
20211023T0600,4.9205284,0.0,72.0,7.42159,112.83366
20211023T0700,4.1405287,0.0,75.0,7.42159,112.83366
20211023T0800,4.3405285,0.0,75.0,6.5693827,99.46232
20211023T0900,6.6105285,0.0,66.0,8.473393,102.26477
20211023T1000,8.520529,0.0,62.0,6.87779,83.99099
20211023T1100,10.260529,0.0,57.0,6.9247384,62.102737
20211023T1200,11.340529,0.0,53.0,7.145796,40.914368
20211023T1300,12.700529,0.0,51.0,8.28,360.0
20211023T1400,13.220529,0.0,51.0,9.0645685,353.15723
20211023T1500,13.730529,0.0,50.0,7.208994,357.13757
20211023T1600,13.860529,0.0,51.0,4.32,360.0
20211023T1700,13.440529,0.0,54.0,2.2768397,18.434952
20211023T1800,12.390529,0.0,56.0,4.829907,116.56505
20211023T1900,10.200529,0.0,60.0,10.703569,132.27368
20211023T2000,8.000528,0.0,69.0,10.805998,119.981636
20211023T2100,7.4105287,0.0,72.0,10.966713,113.19859
20211023T2200,6.6205287,0.0,75.0,9.693296,111.80141
20211023T2300,5.7605286,0.0,78.0,6.9247384,117.89726
20211024T0000,5.0105286,0.0,80.0,5.8603754,132.51044
20211024T0100,4.6205287,0.0,80.0,7.127636,135.0
20211024T0200,4.4205284,0.0,79.0,8.404285,133.26428
20211024T0300,4.2805285,0.0,78.0,9.422101,133.45184
20211024T0400,4.1905284,0.0,78.0,10.97262,131.0091
20211024T0500,3.8505285,0.0,78.0,11.4862,122.19573
20211024T0600,2.9005284,0.0,81.0,13.049689,114.44395
20211024T0700,1.5705286,0.0,83.0,13.527572,115.20112
20211024T0800,3.0105286,0.0,79.0,15.941944,115.407715
20211024T0900,4.9605284,0.0,75.0,15.646544,113.02549
20211024T1000,7.7505283,0.0,68.0,13.896187,106.55707
20211024T1100,10.960529,0.0,56.0,13.979871,101.88866
20211024T1200,13.340529,0.0,52.0,11.901798,93.46823
20211024T1300,14.410529,0.0,49.0,11.212135,95.52754
20211024T1400,15.710529,0.0,46.0,9.3876505,85.60129
20211024T1500,16.440529,0.0,44.0,7.6367526,81.869896
20211024T1600,16.55053,0.0,44.0,7.2805495,81.46923
20211024T1700,15.910529,0.0,49.0,7.2,89.99999
20211024T1800,14.410529,0.0,59.0,9.605998,102.99461
20211024T1900,12.010529,0.0,68.0,9.983106,115.64101
20211024T2000,10.570529,0.0,72.0,8.587338,123.023865
20211024T2100,10.080529,0.0,73.0,7.7879906,123.69006
20211024T2200,9.830529,0.0,74.0,5.8048253,119.74488
20211024T2300,9.370529,0.0,76.0,5.495161,121.6075
